QFT-ICAM_totparticles_labels	QFT-ICAM_NAP_labels	filtration_volumn_in_liter
sam_PS107_N3_100m	BL_PS107_N3_100m_bl	2.28
sam_PS107_N3_10m	BL_PS107_N3_10m_bl	1.64
sam_PS107_N3_28m	BL_PS107_N3_28m_bl	1.64
sam_PS107_N3_35m	BL_PS107_N3_35m_bl	1.64
sam_PS107_N3_40m	BL_PS107_N3_40m_bl	2.28
sam_PS107_N4_100m	BL_PS107_N4_100m_bl	2.28
sam_PS107_N4_10m	BL_PS107_N4_10m_bl	2.28
sam_PS107_N4_25m	BL_PS107_N4_25m_bl	2.28
sam_PS107_N4_35m	BL_PS107_N4_35m_bl	2.28
sam_PS107_N4_50m	BL_PS107_N4_50m_bl	2.28
sam_PS107_N5_100m	BL_PS107_N5_100m_bl	2.28
sam_PS107_N5_10m	BL_PS107_N5_10m_bl	1.14
sam_PS107_N5_20m	BL_PS107_N5_20m_bl	1.14
sam_PS107_N5_30m	BL_PS107_N5_30m_bl	1.64
sam_PS107_N5_40m	BL_PS107_N5_40m_bl	1.64
sam_PS107_S3_100m	BL_PS107_S3_100m_bl	1.2
sam_PS107_S3_15m	BL_PS107_S3_15m_bl	0.6
sam_PS107_S3_25m	BL_PS107_S3_25m_bl	0.6
sam_PS107_S3_35m	BL_PS107_S3_35m_bl	0.6
sam_PS107_S3_surfacel	BL_PS107_S3_surface_bl	0.6
sam_PS107_SV1_100m	BL_PS107_SV1_100m_bl	2.28
sam_PS107_SV1_10m	BL_PS107_SV1_10m_bl	1.14
sam_PS107_SV1_15m	BL_PS107_SV1_15m_bl	1.14
sam_PS107_SV1_20m	BL_PS107_SV1_20m_bl	2.28
sam_PS107_SV1_50m	BL_PS107_SV1_50m_bl	2.28
sam_PS107_SV2_100m	BL_PS107_SV2_100m_bl	2.28
sam_PS107_SV2_15m	BL_PS107_SV2_15m_bl	1.14
sam_PS107_SV2_20m	BL_PS107_SV2_20m_bl	2.28
sam_PS107_SV2_50m	BL_PS107_SV2_50m_bl	2.28
sam_PS107_SV2_5m	BL_PS107_SV2_5m_bl	1.14
sam_PS107_SV3_100m	BL_PS107_SV3_100m_bl	1.64
sam_PS107_SV3_10m	BL_PS107_SV3_10m_bl	1.14
sam_PS107_SV3_25m	BL_PS107_SV3_25m_bl	1.14
sam_PS107_SV3_40m	BL_PS107_SV3_40m_bl	1.64
sam_PS107_SV3_50m	BL_PS107_SV3_50m_bl	1.64
sam_PS107_SV4_100m	BL_PS107_SV4_100m_bl	1.64
sam_PS107_SV4_10m	BL_PS107_SV4_10m_bl	1.14
sam_PS107_SV4_20m	BL_PS107_SV4_20m_bl	1.14
sam_PS107_SV4_30m	BL_PS107_SV4_30m_bl	1.64
sam_PS107_SV4_50m	BL_PS107_SV4_50m_bl	1.64
sam_PS107_St21_0DG_100m	BL_PS107_St21_0DG_100m_bl	2.28
sam_PS107_St21_0DG_10m	BL_PS107_St21_0DG_10m_bl	1.14
sam_PS107_St21_0DG_22m	BL_PS107_St21_0DG_22m_bl	1.14
sam_PS107_St21_0DG_35m	BL_PS107_St21_0DG_35m_bl	1.14
sam_PS107_St21_0DG_50m	BL_PS107_St21_0DG_50m_bl	1.14
