QFT-ICAM_totparticles_labels	QFT-ICAM_NAP_labels	filtration_volumn_in_liter	Event	Date	Time	Latitude	Longitude	Sample_ID	Depth_in_meter
sam_PS107_UW222	BL_PS107_UW222_bl	1.64	PS107_track	2017-08-09	12:02	79.881263	3.630205	UW222	11
sam_PS107_UW223	BL_PS107_UW223_bl	1.64	PS107_track	2017-08-09	15:13	79.732794	4.491213	UW223	11
sam_PS107_UW224	BL_PS107_UW224_bl	1.64	PS107_track	2017-08-09	19:17	79.752738	5.4115	UW224	11
sam_PS107_UW225	BL_PS107_UW225_bl	2.28	PS107_track	2017-08-09	21:04	79.746413	5.509884	UW225	11
sam_PS107_UW226	BL_PS107_UW226_bl	1.64	PS107_track	2017-08-10	0:02	79.737077	4.427855	UW226	11
sam_PS107_UW227	BL_PS107_UW227_bl	1.64	PS107_track	2017-08-10	3:18	79.587333	5.173314	UW227	11
sam_PS107_UW228	BL_PS107_UW228_bl	1.64	PS107_track	2017-08-10	6:01	79.587338	5.171551	UW228	11
sam_PS107_UW234	BL_PS107_UW234_bl	1.64	PS107_track	2017-08-10	11:57	79.587831	5.172032	UW234	11
sam_PS107_UW235	BL_PS107_UW235_bl	1.64	PS107_track	2017-08-10	15:00	79.5754	5.238408	UW235	11
sam_PS107_UW236	BL_PS107_UW235_bl	1.64	PS107_track	2017-08-10	18:21	79.601516	5.171294	UW236	11
sam_PS107_UW237	BL_PS107_UW237_bl	1.64	PS107_track	2017-08-10	21:45	79.30864	4.641	UW237	11
sam_PS107_UW238	BL_PS107_UW238_bl	1.14	PS107_track	2017-08-11	0:02	79.107199	4.602519	UW238	11
sam_PS107_UW244	BL_PS107_UW244_bl	1.14	PS107_track	2017-08-11	5:57	79.000073	4.33323	UW244	11
sam_PS107_UW245	BL_PS107_UW245_bl	1.14	PS107_track	2017-08-11	9:00	79.02259	4.404402	UW245	11
sam_PS107_UW246	BL_PS107_UW246_bl	1.14	PS107_track	2017-08-11	12:00	79.02329	4.405315	UW246	11
sam_PS107_UW247	BL_PS107_UW247_bl	1.64	PS107_track	2017-08-11	16:45	79.046906	3.609819	UW247	11
sam_PS107_UW248	BL_PS107_UW248_bl	1.64	PS107_track	2017-08-11	19:00	79.100057	4.577035	UW248	11
sam_PS107_UW249	BL_PS107_UW249_bl	1.64	PS107_track	2017-08-11	21:09	79.130616	4.90212	UW249	11
sam_PS107_UW25	BL_PS107_UW25_bl	0.6	PS107_track	2017-07-26	16:44	78.608572	5.068406	UW25	11
sam_PS107_UW257	BL_PS107_UW257_bl	1.14	PS107_track	2017-08-12	0:17	79.131304	4.903467	UW257	11
sam_PS107_UW258	BL_PS107_UW258_bl	1.14	PS107_track	2017-08-12	3:20	79.130974	4.905306	UW258	11
sam_PS107_UW259	BL_PS107_UW259_bl	1.14	PS107_track	2017-08-12	6:08	79.130915	4.90147	UW259	11
sam_PS107_UW26	BL_PS107_UW26_bl	0.6	PS107_track	2017-07-26	20:03	78.607831	4.957496	UW26	11
sam_PS107_UW260	BL_PS107_UW260_bl	1.14	PS107_track	2017-08-12	9:05	79.131222	4.983535	UW260	11
sam_PS107_UW261	BL_PS107_UW261_bl	1.14	PS107_track	2017-08-12	12:20	79.140091	6.088406	UW261	11
sam_PS107_UW262	BL_PS107_UW262_bl	1.64	PS107_track	2017-08-12	15:02	79.141833	6.112231	UW262	11
sam_PS107_UW263	BL_PS107_UW263_bl	1.64	PS107_track	2017-08-12	18:02	79.153121	6.114548	UW263	11
sam_PS107_UW269	BL_PS107_UW269_bl	1.14	PS107_track	2017-08-12	21:08	79.14434	6.092373	UW269	11
sam_PS107_UW27	BL_PS107_UW27_bl	0.6	PS107_track	2017-07-27	0:02	78.617264	5.111994	UW27	11
sam_PS107_UW270	BL_PS107_UW270_bl	1.14	PS107_track	2017-08-13	0:01	79.143083	6.079479	UW270	11
sam_PS107_UW271	BL_PS107_UW271_bl	1.14	PS107_track	2017-08-13	3:12	79.132253	6.250809	UW271	11
sam_PS107_UW272	BL_PS107_UW272_bl	1.14	PS107_track	2017-08-13	6:01	79.134005	6.126774	UW272	11
sam_PS107_UW273	BL_PS107_UW273_bl	1.14	PS107_track	2017-08-13	9:08	79.009355	6.96226	UW273	11
sam_PS107_UW279	BL_PS107_UW279_bl	1.14	PS107_track	2017-08-13	15:08	79.034145	7.002804	UW279	11
sam_PS107_UW28	BL_PS107_UW28_bl	0.8	PS107_track	2017-07-27	3:16	78.867681	4.640669	UW28	11
sam_PS107_UW280	BL_PS107_UW280_bl	1.14	PS107_track	2017-08-13	18:02	79.033996	7.000889	UW280	11
sam_PS107_UW281	BL_PS107_UW281_bl	1.14	PS107_track	2017-08-13	21:55	79.028142	7.276689	UW281	11
sam_PS107_UW287	BL_PS107_287_bl	1.14	PS107_track	2017-08-14	3:03	79.003501	8.370617	UW287	11
sam_PS107_UW288	BL_PS107_288_bl	1.14	PS107_track	2017-08-14	6:03	79.003484	8.365289	UW288	11
sam_PS107_UW289	BL_PS107_289_bl	1.14	PS107_track	2017-08-14	9:01	79.025222	7.089747	UW289	11
sam_PS107_UW29	BL_PS107_UW29_bl	0.6	PS107_track	2017-07-27	6:02	79.018163	4.292666	UW29	11
sam_PS107_UW290	BL_PS107_UW290_bl	1.14	PS107_track	2017-08-14	12:02	79.02886	6.527801	UW290	11
sam_PS107_UW296	BL_PS107_UW296_bl	1.14	PS107_track	2017-08-14	18:56	78.980732	9.510146	UW296	11
sam_PS107_UW297	BL_PS107_UW297_bl	1.14	PS107_track	2017-08-14	21:11	78.998574	10.084902	UW297	11
sam_PS107_UW3	BL_PS107_UW3_bl	0.3	PS107_track	2017-07-24	6:00	71.990513	18.905068	UW3	11
sam_PS107_UW30	BL_PS107_UW30_bl	1.2	PS107_track	2017-07-27	10:02	79.078499	4.117422	UW30	11
sam_PS107_UW303	BL_PS107_UW303_bl	1.14	PS107_track	2017-08-15	3:10	79.028689	11.076678	UW303	11
sam_PS107_UW306	BL_PS107_UW306_bl	1.14	PS107_track	2017-08-15	6:10	79.021275	9.225338	UW306	11
sam_PS107_UW307	BL_PS107_UW307_bl	1.14	PS107_track	2017-08-15	9:02	79.011134	6.964498	UW307	11
sam_PS107_UW308	BL_PS107_UW308_bl	1.14	PS107_track	2017-08-15	12:03	78.773572	8.2133	UW308	11
sam_PS107_UW309	BL_PS107_UW309_bl	1.14	PS107_track	2017-08-15	15:01	78.287629	10.685838	UW309	11
sam_PS107_UW31	BL_PS107_UW31_bl	1.2	PS107_track	2017-07-27	11:57	79.027665	4.406416	UW31	11
sam_PS107_UW310	BL_PS107_UW310_bl	1.14	PS107_track	2017-08-15	17:38	78.108775	13.320786	UW310	11
sam_PS107_UW311	BL_PS107_UW311_bl	1.14	PS107_track	2017-08-16	18:00	78.101349	13.308892	UW311	11
sam_PS107_UW312	BL_PS107_UW312_bl	1.14	PS107_track	2017-08-16	21:16	77.657563	12.62761	UW312	11
sam_PS107_UW313	BL_PS107_UW313_bl	1.14	PS107_track	2017-08-17	0:07	77.163773	13.148078	UW313	11
sam_PS107_UW314	BL_PS107_UW314_bl	1.14	PS107_track	2017-08-17	3:10	76.629434	13.985526	UW314	11
sam_PS107_UW315	BL_PS107_UW315_bl	1.14	PS107_track	2017-08-17	6:39	76.031975	14.84961	UW315	11
sam_PS107_UW316	BL_PS107_UW316_bl	1.14	PS107_track	2017-08-17	9:00	75.62879	15.466523	UW316	11
sam_PS107_UW317	BL_PS107_UW317_bl	1.14	PS107_track	2017-08-17	12:01	75.106105	16.200512	UW317	11
sam_PS107_UW318	BL_PS107_UW318_bl	1.14	PS107_track	2017-08-17	16:22	74.363678	17.201679	UW318	11
sam_PS107_UW319	BL_PS107_UW319_bl	1.14	PS107_track	2017-08-17	18:10	74.112942	17.528997	UW319	11
sam_PS107_UW32	BL_PS107_UW32_bl	1.14	PS107_track	2017-07-27	15:15	79.064105	4.201414	UW32	11
sam_PS107_UW320	BL_PS107_UW320_bl	1.14	PS107_track	2017-08-17	21:06	73.710401	18.021118	UW320	11
sam_PS107_UW321	BL_PS107_UW321_bl	1.14	PS107_track	2017-08-18	0:13	73.26885	18.503953	UW321	11
sam_PS107_UW33	BL_PS107_UW33_bl	1.4	PS107_track	2017-07-27	18:19	79.064431	4.176276	UW33	11
sam_PS107_UW34	BL_PS107_UW34_bl	1.4	PS107_track	2017-07-27	21:15	79.064477	4.175042	UW34	11
sam_PS107_UW35	BL_PS107_UW35_bl	1.4	PS107_track	2017-07-28	0:02	79.065261	4.171064	UW35	11
sam_PS107_UW4	BL_PS107_UW4_bl	0.3	PS107_track	2017-07-24	9:02	72.550659	18.053396	UW4	11
sam_PS107_UW41	BL_PS107_UW41_bl	1.4	PS107_track	2017-07-28	7:02	79.064933	4.195833	UW41	11
sam_PS107_UW42	BL_PS107_UW42_bl	1	PS107_track	2017-07-28	11:05	79.043297	4.202693	UW42	11
sam_PS107_UW43	BL_PS107_UW44__bl	1.14	PS107_track	2017-07-28	16:46	78.94919	4.344424	UW43	11
sam_PS107_UW44	BL_PS107_UW44__bl	1.14	PS107_track	2017-07-28	19:04	78.998773	4.027667	UW44	11
sam_PS107_UW5	BL_PS107_UW5_bl	0.6	PS107_track	2017-07-24	12:13	73.131556	17.14213	UW5	11
sam_PS107_UW50	BL_PS107_UW50_bl	0.5	PS107_track	2017-07-28	23:59	79.054571	3.737685	UW50	11
sam_PS107_UW51	BL_PS107_UW51_bl	0.5	PS107_track	2017-07-29	3:12	79.056128	3.747314	UW51	11
sam_PS107_UW57	BL_PS107_UW57_bl	0.5	PS107_track	2017-07-29	9:03	79.045615	3.604727	UW57	11
sam_PS107_UW58	BL_PS107_UW58_bl	1.3	PS107_track	2017-07-29	12:00	78.964562	2.590389	UW58	11
sam_PS107_UW59	BL_PS107_UW59_bl	1.64	PS107_track	2017-07-29	15:19	78.973152	2.495036	UW59	11
sam_PS107_UW6	BL_PS107_UW6_bl	0.6	PS107_track	2017-07-24	15:04	73.654324	16.272812	UW6	11
sam_PS107_UW60	BL_PS107_UW60_bl	1.14	PS107_track	2017-07-29	18:20	78.976048	2.488438	UW60	11
sam_PS107_UW67	BL_PS107_UW67_bl	1.14	PS107_track	2017-07-29	22:16	78.972634	2.857339	UW67	11
sam_PS107_UW68	BL_PS107_UW68_bl	1.14	PS107_track	2017-07-30	0:01	78.964535	2.633243	UW68	11
sam_PS107_UW7	BL_PS107_UW7_bl	0.6	PS107_track	2017-07-24	18:02	74.173723	15.267706	UW7	11
sam_PS107_UW75	BL_PS107_UW75_bl	1.14	PS107_track	2017-07-30	5:58	78.921006	2.775579	UW75	11
sam_PS107_UW76	BL_PS107_UW76_bl	1.14	PS107_track	2017-07-30	8:58	78.983249	2.872764	UW76	11
sam_PS107_UW8	BL_PS107_UW8_bl	0.6	PS107_track	2017-07-24	21:06	74.705836	14.203701	UW8	11
sam_PS107_UW83	BL_PS107_UW83_bl	1.14	PS107_track	2017-07-30	15:02	78.928281	2.853886	UW83	11
sam_PS107_UW84	sam_PS107_UW84_bl	1.14	PS107_track	2017-07-30	18:10	78.980176	2.477733	UW84	11
sam_PS107_UW85	BL_PS107_UW85_bl	1.14	PS107_track	2017-07-30	21:04	79.00164	2.263402	UW85	11
sam_PS107_UW9	BL_PS107_UW9_bl	0.6	PS107_track	2017-07-25	0:00	75.215933	13.148936	UW9	11
sam_PS107_UW92	BL_PS107_UW92_bl	2.28	PS107_track	2017-07-31	0:11	78.99947	2.280616	UW92	11
sam_PS107_UW99	BL_PS107_UW99_bl	1.14	PS107_track	2017-07-31	3:04	78.971614	2.972894	UW99	11
sam_PS107_UW_143	BL_PS107_UW_143_bl	1.64	PS107_track	2017-08-03	3:19	78.809942	-2.760172	UW143	11
sam_PS107_UW_144	BL_PS107_UW_144_bl	1.64	PS107_track	2017-08-03	6:04	78.812757	-2.825866	UW144	11
sam_PS107_UW_200	BL_PS107_UW_200_bl	2.28	PS107_track	2017-08-08	0:00	79.715115	4.493162	UW200	11
sam_PS107_UW_206	BL_PS107_UW_206_bl	2.28	PS107_track	2017-08-08	6:02	79.739461	4.517769	UW206	11
sam_PS107_UW_207	BL_PS107_UW_207_bl	2.28	PS107_track	2017-08-08	9:01	79.734638	4.572172	UW207	11
sam_UW_142	BL_PS107_UW_142_bl	1.64	PS107_track	2017-08-03	0:24	78.832764	-2.883049	UW142	11
