QFT-ICAM_totparticles_labels	QFT-ICAM_NAP_labels	filtration_volumn_in_liter	Event	Date	Time	Latitude	Longitude	Sample_ID	Depth_in_meter
sam_PS107_Front5_100m	BL_PS107_Front5_100m_bl	2.28	PS107_18-3	2017-07-31	5:11	78.9872	2.7505	Front5	100
sam_PS107_Front5_200m	BL_PS107_Front5_200m_bl	2.28	PS107_18-3	2017-07-31	5:11	78.9872	2.7505	Front5	200
sam_PS107_Front5_25m	BL_PS107_Front5_25m_bl	1.14	PS107_18-3	2017-07-31	5:11	78.9872	2.7505	Front5	25
sam_PS107_Front5_400m	BL_PS107_Front5_400m_bl	2.28	PS107_18-3	2017-07-31	5:11	78.9872	2.7505	Front5	400
sam_PS107_Front5_50m	BL_PS107_Front5_50m_bl	2.28	PS107_18-3	2017-07-31	5:11	78.9872	2.7505	Front5	50
sam_PS107_Front5_SF	BL_PS107_Front5_SF_bl	1.14	PS107_18-3	2017-07-31	5:11	78.9872	2.7505	Front5	10
sam_PS107_HG1_100m	BL_PS107_HG1_100m_bl	2.28	PS107_43-6	2017-08-12	17:59	79.1528	6.1138	HG1	100
sam_PS107_HG1_10m	BL_PS107_HG1_10m_bl	1.64	PS107_43-6	2017-08-12	17:59	79.1528	6.1138	HG1	10
sam_PS107_HG1_20m	BL_PS107_HG1_20m_bl	1.14	PS107_43-6	2017-08-12	17:59	79.1528	6.1138	HG1	20
sam_PS107_HG1_35m	BL_PS107_HG1_35m_bl	2.28	PS107_43-6	2017-08-12	17:59	79.1528	6.1138	HG1	35
sam_PS107_HG1_50m	BL_PS107_HG1_50m_bl	2.28	PS107_43-6	2017-08-12	17:59	79.1528	6.1138	HG1	50
sam_PS107_HG2_100m	BL_PS107_HG2_100m_bl	2.28	PS107_42-1	2017-08-12	3:01	79.1312	4.9045	HG2	100
sam_PS107_HG2_10m	BL_PS107_HG2_10m_bl	1.14	PS107_42-1	2017-08-12	3:01	79.1312	4.9045	HG2	10
sam_PS107_HG2_25m	BL_PS107_HG2_25m_bl	1.14	PS107_42-1	2017-08-12	3:01	79.1312	4.9045	HG2	25
sam_PS107_HG2_40m	BL_PS107_HG2_40m_bl	1.64	PS107_42-1	2017-08-12	3:01	79.1312	4.9045	HG2	40
sam_PS107_HG2_50m	BL_PS107_HG2_50m_bl	2.28	PS107_42-1	2017-08-12	3:01	79.1312	4.9045	HG2	50
sam_PS107_HG3_100m	BL_PS107_HG3_100m_bl	1.64	PS107_37-1	2017-08-10	23:44	79.1070	4.6042	HG3	100
sam_PS107_HG3_10m	BL_PS107_HG3_10m_bl	1.14	PS107_37-1	2017-08-10	23:44	79.1070	4.6042	HG3	10
sam_PS107_HG3_25m	BL_PS107_HG3_25m_bl	1.14	PS107_37-1	2017-08-10	23:44	79.1070	4.6042	HG3	25
sam_PS107_HG3_40m	BL_PS107_HG3_40m_bl	1.64	PS107_37-1	2017-08-10	23:44	79.1070	4.6042	HG3	40
sam_PS107_HG3_50m	BL_PS107_HG3_50m_bl	1.64	PS107_37-1	2017-08-10	23:44	79.1070	4.6042	HG3	50
sam_PS107_HG4_100m	BL_PS107_HG4_100m_bl	1.2	PS107_6-8	2017-07-28	2:23	79.0653	4.1688	HG4	100
sam_PS107_HG4_25m	BL_PS107_HG4_25m_bl	1	PS107_6-8	2017-07-28	2:23	79.0653	4.1688	HG4	25
sam_PS107_HG4_40m	BL_PS107_HG4_40m_bl	1.2	PS107_6-8	2017-07-28	2:23	79.0653	4.1688	HG4	40
sam_PS107_HG4_55m	BL_PS107_HG4_55m_bl	1	PS107_6-8	2017-07-28	2:23	79.0653	4.1688	HG4	55
sam_PS107_HG4_SF	BL_PS107_HG4_SF_bl	1	PS107_6-8	2017-07-28	2:23	79.0653	4.1688	HG4	10
sam_PS107_HG5_100m	BL_PS107_HG5_100m__bl	1.64	PS107_7-1	2017-07-28	20:08	79.0532	3.7488	HG5	100
sam_PS107_HG5_20m	BL_PS107_HG5_20m__bl	1.14	PS107_7-1	2017-07-28	20:08	79.0532	3.7488	HG5	20
sam_PS107_HG5_30m	BL_PS107_HG5_30m__bl	1.14	PS107_7-1	2017-07-28	20:08	79.0532	3.7488	HG5	30
sam_PS107_HG5_40m	BL_PS107_HG5_40m__bl	1.14	PS107_7-1	2017-07-28	20:08	79.0532	3.7488	HG5	40
sam_PS107_HG5_SF	BL_PS107_HG5_SF__bl	1.14	PS107_7-1	2017-07-28	20:08	79.0532	3.7488	HG5	10
sam_PS107_HG6_100m	BL_PS107_HG6_100m_bl	2.28	PS107_8-1	2017-07-29	4:50	79.0467	3.6042	HG6	100
sam_PS107_HG6_10m	BL_PS107_HG6_10m_bl	0.3	PS107_8-1	2017-07-29	4:50	79.0467	3.6042	HG6	10
sam_PS107_HG6_15m	BL_PS107_HG6_15m_bl	0.3	PS107_8-1	2017-07-29	4:50	79.0467	3.6042	HG6	15
sam_PS107_HG6_25m	BL_PS107_HG6_25m_bl	0.6	PS107_8-1	2017-07-29	4:50	79.0467	3.6042	HG6	25
sam_PS107_HG6_SF	BL_PS107_HG6_5m_bl	1	PS107_8-1	2017-07-29	4:50	79.0467	3.6042	HG6	5
sam_PS107_HG7_100m	BL_PS107_HG7_100m_bl	2.28	PS107_19-1	2017-07-31	12:44	79.0587	3.4828	HG7	100
sam_PS107_HG7_20m	BL_PS107_HG7_20m_bl	1.14	PS107_19-1	2017-07-31	12:44	79.0587	3.4828	HG7	20
sam_PS107_HG7_30m	BL_PS107_HG7_30m_bl	1.14	PS107_19-1	2017-07-31	12:44	79.0587	3.4828	HG7	30
sam_PS107_HG7_40m	BL_PS107_HG7_40m_bl	1.14	PS107_19-1	2017-07-31	12:44	79.0587	3.4828	HG7	40
sam_PS107_HG7_SF	BL_PS107_HG7_SF_bl	1.14	PS107_19-1	2017-07-31	12:44	79.0587	3.4828	HG7	10
sam_PS107_HG9_100m	BL_PS107_HG9_100m_bl	2.28	PS107_20-8	2017-08-01	16:17	79.1338	2.8452	HG9	100
sam_PS107_HG9_10m	BL_PS107_HG9_10m_bl	1.14	PS107_20-8	2017-08-01	16:17	79.1338	2.8452	HG9	10
sam_PS107_HG9_20m	BL_PS107_HG9_20m_bl	1.14	PS107_20-8	2017-08-01	16:17	79.1338	2.8452	HG9	20
sam_PS107_HG9_35m	BL_PS107_HG9_35m_bl	1.14	PS107_20-8	2017-08-01	16:17	79.1338	2.8452	HG9	35
sam_PS107_HG9_50m	BL_PS107_HG9_50m_bl	1.14	PS107_20-8	2017-08-01	16:17	79.1338	2.8452	HG9	50
sam_PS107_N3_100m	BL_PS107_N3_100m_bl	2.28	PS107_36-1	2017-08-10	3:12	79.5873	5.1730	N3	100
sam_PS107_N3_10m	BL_PS107_N3_10m_bl	1.64	PS107_36-1	2017-08-10	3:12	79.5873	5.1730	N3	10
sam_PS107_N3_28m	BL_PS107_N3_28m_bl	1.64	PS107_36-1	2017-08-10	3:12	79.5873	5.1730	N3	28
sam_PS107_N3_35m	BL_PS107_N3_35m_bl	1.64	PS107_36-1	2017-08-10	3:12	79.5873	5.1730	N3	35
sam_PS107_N3_40m	BL_PS107_N3_40m_bl	2.28	PS107_36-1	2017-08-10	3:12	79.5873	5.1730	N3	40
sam_PS107_N4_100m	BL_PS107_N4_100m_bl	2.28	PS107_33-6	2017-08-08	3:06	79.7262	4.5007	N4	100
sam_PS107_N4_10m	BL_PS107_N4_10m_bl	2.28	PS107_33-6	2017-08-08	3:06	79.7262	4.5007	N4	10
sam_PS107_N4_25m	BL_PS107_N4_25m_bl	2.28	PS107_33-6	2017-08-08	3:06	79.7262	4.5007	N4	25
sam_PS107_N4_35m	BL_PS107_N4_35m_bl	2.28	PS107_33-6	2017-08-08	3:06	79.7262	4.5007	N4	35
sam_PS107_N4_50m	BL_PS107_N4_50m_bl	2.28	PS107_33-6	2017-08-08	3:06	79.7262	4.5007	N4	50
sam_PS107_N5_100m	BL_PS107_N5_100m_bl	2.28	PS107_34-5	2017-08-09	2:53	80.0003	2.9395	N5	100
sam_PS107_N5_10m	BL_PS107_N5_10m_bl	1.14	PS107_34-5	2017-08-09	2:53	80.0003	2.9395	N5	10
sam_PS107_N5_20m	BL_PS107_N5_20m_bl	1.14	PS107_34-5	2017-08-09	2:53	80.0003	2.9395	N5	20
sam_PS107_N5_30m	BL_PS107_N5_30m_bl	1.64	PS107_34-5	2017-08-09	2:53	80.0003	2.9395	N5	30
sam_PS107_N5_40m	BL_PS107_N5_40m_bl	1.64	PS107_34-5	2017-08-09	2:53	80.0003	2.9395	N5	40
sam_PS107_S3_100m	BL_PS107_S3_100m_bl	1.2	PS107_2-13	2017-07-26	11:33	78.6087	5.0545	S3	100
sam_PS107_S3_15m	BL_PS107_S3_15m_bl	0.6	PS107_2-13	2017-07-26	11:33	78.6087	5.0545	S3	15
sam_PS107_S3_25m	BL_PS107_S3_25m_bl	0.6	PS107_2-13	2017-07-26	11:33	78.6087	5.0545	S3	25
sam_PS107_S3_35m	BL_PS107_S3_35m_bl	0.6	PS107_2-13	2017-07-26	11:33	78.6087	5.0545	S3	35
sam_PS107_S3_surfacel	BL_PS107_S3_surface_bl	0.6	PS107_2-13	2017-07-26	11:33	78.6087	5.0545	S3	10
sam_PS107_SV1_100m	BL_PS107_SV1_100m_bl	2.28	PS107_48-1	2017-08-14	22:58	79.0297	11.1007	SV1	100
sam_PS107_SV1_10m	BL_PS107_SV1_10m_bl	1.14	PS107_48-1	2017-08-14	22:58	79.0297	11.1007	SV1	10
sam_PS107_SV1_15m	BL_PS107_SV1_15m_bl	1.14	PS107_48-1	2017-08-14	22:58	79.0297	11.1007	SV1	15
sam_PS107_SV1_20m	BL_PS107_SV1_20m_bl	2.28	PS107_48-1	2017-08-14	22:58	79.0297	11.1007	SV1	20
sam_PS107_SV1_50m	BL_PS107_SV1_50m_bl	2.28	PS107_48-1	2017-08-14	22:58	79.0297	11.1007	SV1	50
sam_PS107_SV2_100m	BL_PS107_SV2_100m_bl	2.28	PS107_47-1	2017-08-14	16:44	78.9835	9.5078	SV2	100
sam_PS107_SV2_15m	BL_PS107_SV2_15m_bl	1.14	PS107_47-1	2017-08-14	16:44	78.9835	9.5078	SV2	15
sam_PS107_SV2_20m	BL_PS107_SV2_20m_bl	2.28	PS107_47-1	2017-08-14	16:44	78.9835	9.5078	SV2	20
sam_PS107_SV2_50m	BL_PS107_SV2_50m_bl	2.28	PS107_47-1	2017-08-14	16:44	78.9835	9.5078	SV2	50
sam_PS107_SV2_5m	BL_PS107_SV2_5m_bl	1.14	PS107_47-1	2017-08-14	16:44	78.9835	9.5078	SV2	5
sam_PS107_SV3_100m	BL_PS107_SV3_100m_bl	1.64	PS107_45-1	2017-08-13	23:53	79.0047	8.3633	SV3	100
sam_PS107_SV3_10m	BL_PS107_SV3_10m_bl	1.14	PS107_45-1	2017-08-13	23:53	79.0047	8.3633	SV3	10
sam_PS107_SV3_25m	BL_PS107_SV3_25m_bl	1.14	PS107_45-1	2017-08-13	23:53	79.0047	8.3633	SV3	25
sam_PS107_SV3_40m	BL_PS107_SV3_40m_bl	1.64	PS107_45-1	2017-08-13	23:53	79.0047	8.3633	SV3	40
sam_PS107_SV3_50m	BL_PS107_SV3_50m_bl	1.64	PS107_45-1	2017-08-13	23:53	79.0047	8.3633	SV3	50
sam_PS107_SV4_100m	BL_PS107_SV4_100m_bl	1.64	PS107_44-3	2017-08-13	11:20	79.0337	7.0032	SV4	100
sam_PS107_SV4_10m	BL_PS107_SV4_10m_bl	1.14	PS107_44-3	2017-08-13	11:20	79.0337	7.0032	SV4	10
sam_PS107_SV4_20m	BL_PS107_SV4_20m_bl	1.14	PS107_44-3	2017-08-13	11:20	79.0337	7.0032	SV4	20
sam_PS107_SV4_30m	BL_PS107_SV4_30m_bl	1.64	PS107_44-3	2017-08-13	11:20	79.0337	7.0032	SV4	30
sam_PS107_SV4_50m	BL_PS107_SV4_50m_bl	1.64	PS107_44-3	2017-08-13	11:20	79.0337	7.0032	SV4	50
sam_PS107_St21_0DG_100m	BL_PS107_St21_0DG_100m_bl	2.28	PS107_21-1	2017-08-02	3:13	78.9662	0.0032	0degree	100
sam_PS107_St21_0DG_10m	BL_PS107_St21_0DG_10m_bl	1.14	PS107_21-1	2017-08-02	3:13	78.9662	0.0032	0degree	10
sam_PS107_St21_0DG_22m	BL_PS107_St21_0DG_22m_bl	1.14	PS107_21-1	2017-08-02	3:13	78.9662	0.0032	0degree	22
sam_PS107_St21_0DG_35m	BL_PS107_St21_0DG_35m_bl	1.14	PS107_21-1	2017-08-02	3:13	78.9662	0.0032	0degree	35
sam_PS107_St21_0DG_50m	BL_PS107_St21_0DG_50m_bl	1.14	PS107_21-1	2017-08-02	3:13	78.9662	0.0032	0degree	50
sam_PS107_UW1	BL_PS107_UW1_bl	0.6	PS107_track	2017-07-24	0:00	70.918903	20.458396	UW1	11
sam_PS107_UW10	BL_PS107_UW10_bl	0.6	PS107_track	2017-07-25	3:06	75.789827	11.919793	UW10	11
sam_PS107_UW106	BL_PS107_UW106_bl	1.14	PS107_track	2017-07-31	10:01	79.145993	3.190829	UW106	11
sam_PS107_UW107	BL_PS107_UW107_bl	1.14	PS107_track	2017-07-31	12:06	79.116896	3.324827	UW107	11
sam_PS107_UW11	BL_PS107_UW11_bl	0.6	PS107_track	2017-07-25	6:00	76.295804	10.794029	UW11	11
sam_PS107_UW113	BL_PS107_UW113_bl	1.14	PS107_track	2017-07-31	18:09	79.060025	3.480792	UW113	11
sam_PS107_UW114	BL_PS107_UW114_bl	1.14	PS107_track	2017-07-31	21:39	79.062706	3.421809	UW114	11
sam_PS107_UW115	BL_PS107_UW115_bl	1.14	PS107_track	2017-08-01	0:01	79.125442	2.82366	UW115	11
sam_PS107_UW116	BL_PS107_UW116_bl	1.14	PS107_track	2017-08-01	2:59	79.116892	2.8078	UW116	11
sam_PS107_UW117	BL_PS107_UW117_bl	1.14	PS107_track	2017-08-01	6:05	79.134054	2.842562	UW117	11
sam_PS107_UW118	BL_PS107_UW118_bl	1.14	PS107_track	2017-08-01	8:54	79.130332	2.834576	UW118	11
sam_PS107_UW12	BL_PS107_UW12_bl	0.6	PS107_track	2017-07-25	9:04	76.831631	9.557058	UW12	11
sam_PS107_UW120	BL_PS107_UW120_bl	1.14	PS107_track	2017-08-01	15:07	79.13318	2.84327	UW120	11
sam_PS107_UW121	BL_PS107_UW121_bl	1.14	PS107_track	2017-08-01	19:42	79.13328	2.844327	UW121	11
sam_PS107_UW127	BL_PS107_UW127_bl	1.14	PS107_track	2017-08-01	21:04	79.151001	2.925909	UW127	11
sam_PS107_UW128	BL_PS107_UW128_bl	1.14	PS107_track	2017-08-02	0:08	79.061821	1.672406	UW128	11
sam_PS107_UW129	BL_PS107_UW129_bl	1.14	PS107_track	2017-08-02	3:03	78.966935	0.009669	UW129	11
sam_PS107_UW13	BL_PS107_UW13_bl	0.6	PS107_track	2017-07-25	12:00	77.348594	8.316389	UW13	11
sam_PS107_UW135	BL_PS107_UW135_bl	1.14	PS107_track	2017-08-02	9:03	78.964334	0.003971	UW135	11
sam_PS107_UW136	BL_PS107_UW136_bl	2.28	PS107_track	2017-08-02	11:59	78.958403	0.03146	UW136	11
sam_PS107_UW137	BL_PS107_UW137_bl	2.28	PS107_track	2017-08-02	15:01	78.949266	-0.276122	UW137	11
sam_PS107_UW138	BL_PS107_UW138_bl	2.28	PS107_track	2017-08-02	18:10	78.848966	-2.065464	UW138	11
sam_PS107_UW139	BL_PS107_UW139_bl	2.28	PS107_track	2017-08-02	21:11	78.816668	-2.800348	UW139	11
sam_PS107_UW14	BL_PS107_UW14_bl	0.6	PS107_track	2017-07-25	15:00	77.697852	7.448852	UW14	11
sam_PS107_UW15	BL_PS107_UW15_bl	0.6	PS107_track	2017-07-25	18:04	78.240429	6.052952	UW15	11
sam_PS107_UW150	BL_PS107_UW150_bl	3.42	PS107_track	2017-08-03	12:07	78.842037	-2.86917	UW150	11
sam_PS107_UW151	BL_PS107_UW151_bl	2.78	PS107_track	2017-08-03	15:06	78.820177	-2.786034	UW151	11
sam_PS107_UW152	BL_PS107_UW152_bl	3.42	PS107_track	2017-08-03	18:47	78.816812	-2.963761	UW152	11
sam_PS107_UW153	BL_PS107_UW153_bl	2.28	PS107_track	2017-08-03	21:20	78.865904	-3.84812	UW153	11
sam_PS107_UW159	BL_PS107_UW159_bl	2.28	PS107_track	2017-08-04	3:11	78.851209	-3.931029	UW159	11
sam_PS107_UW16	BL_PS107_UW16_bl	0.6	PS107_track	2017-07-25	21:01	78.606804	5.040929	UW16	11
sam_PS107_UW160	BL_PS107_UW160_bl	2.28	PS107_track	2017-08-04	6:10	78.854733	-3.952675	UW160	11
sam_PS107_UW161	BL_PS107_UW161_bl	2.28	PS107_track	2017-08-04	9:12	78.848981	-3.635349	UW161	11
sam_PS107_UW162	BL_PS107_UW162_bl	2.28	PS107_track	2017-08-04	12:08	78.83106	-2.791564	UW162	11
sam_PS107_UW163	BL_PS107_UW163_bl	2.28	PS107_track	2017-08-04	15:00	79.005639	-3.051061	UW163	11
sam_PS107_UW164	BL_PS107_UW164_bl	2.28	PS107_track	2017-08-04	18:57	78.919215	-2.952765	UW164	11
sam_PS107_UW165	BL_PS107_UW165_bl	3.42	PS107_track	2017-08-04	21:17	78.90563	-2.991158	UW165	11
sam_PS107_UW168	BL_PS107_UW168_bl	2.28	PS107_track	2017-08-05	0:38	78.886686	-3.136053	UW168	11
sam_PS107_UW169	BL_PS107_UW169_bl	2.28	PS107_track	2017-08-05	3:07	78.924229	-4.361231	UW169	11
sam_PS107_UW17	BL_PS107_UW17_bl	0.6	PS107_track	2017-07-26	0:01	78.602298	5.007734	UW17	11
sam_PS107_UW175	BL_PS107_UW175_bl	2.28	PS107_track	2017-08-05	9:02	78.921817	-4.618487	UW175	11
sam_PS107_UW176	BL_PS107_UW176_bl	2.28	PS107_track	2017-08-05	11:59	78.936974	-4.636454	UW176	11
sam_PS107_UW177	BL_PS107_UW177_bl	2.28	PS107_track	2017-08-05	15:01	78.927667	-4.580546	UW177	11
sam_PS107_UW178	BL_PS107_UW178_bl	2.28	PS107_track	2017-08-05	18:15	78.909042	-4.647426	UW178	11
sam_PS107_UW179	BL_PS107_UW179_bl	1.89	PS107_track	2017-08-05	22:40	78.992786	-5.462744	UW179	11
sam_PS107_UW18	BL_PS107_UW18_bl	0.6	PS107_track	2017-07-26	4:07	78.605773	4.98324	UW18	11
sam_PS107_UW180	BL_PS107_UW180_bl	2.28	PS107_track	2017-08-06	0:06	78.999742	-5.48962	UW180	11
sam_PS107_UW186	BL_PS107_UW186_bl	2.28	PS107_track	2017-08-06	6:01	78.987944	-5.476316	UW186	11
sam_PS107_UW187	BL_PS107_UW187_bl	2.28	PS107_track	2017-08-06	8:59	78.972398	-5.530361	UW187	11
sam_PS107_UW188	BL_PS107_UW188_bl	2.28	PS107_track	2017-08-06	12:04	78.987809	-5.483586	UW188	11
sam_PS107_UW189	BL_PS107_UW189_bl	2.28	PS107_track	2017-08-06	15:04	79.088834	-4.030567	UW189	11
sam_PS107_UW19	BL_PS107_UW19_bl	0.6	PS107_track	2017-07-26	7:57	78.609215	5.056459	UW19	11
sam_PS107_UW190	BL_PS107_UW190_bl	2.28	PS107_track	2017-08-06	18:15	79.30157	-1.995516	UW190	11
sam_PS107_UW191	BL_PS107_UW191_bl	2.28	PS107_track	2017-08-06	21:00	79.304493	-2.009949	UW191	11
sam_PS107_UW192	BL_PS107_UW192_bl	2.28	PS107_track	2017-08-07	0:00	79.419219	-0.233018	UW192	11
sam_PS107_UW193	BL_PS107_UW193_bl	2.28	PS107_track	2017-08-07	3:00	79.433367	-0.000983	UW193	11
sam_PS107_UW194	BL_PS107_UW194_bl	2.28	PS107_track	2017-08-07	6:00	79.435251	-0.021183	UW194	11
sam_PS107_UW195_	BL_PS107_UW195_BL	2.28	PS107_track	2017-08-07	9:00	79.509237	1.028334	UW195	11
sam_PS107_UW196_	BL_PS107_UW196_BL	2.28	PS107_track	2017-08-07	12:07	79.582351	2.001938	UW196	11
sam_PS107_UW197	BL_PS107_UW197_bl	2.28	PS107_track	2017-08-07	15:09	79.588209	2.104023	UW197	11
sam_PS107_UW198	BL_PS107_UW198_bl	2.28	PS107_track	2017-08-07	18:51	79.735374	4.383187	UW198	11
sam_PS107_UW199	BL_PS107_UW199_bl	2.28	PS107_track	2017-08-07	21:17	79.734289	4.521588	UW199	11
sam_PS107_UW2	BL_PS107_UW2_bl	0.6	PS107_track	2017-07-24	3:00	71.457307	19.692047	UW2	11
sam_PS107_UW208	BL_PS107_UW208_bl	2.28	PS107_track	2017-08-08	12:39	79.732593	4.560617	UW208	11
sam_PS107_UW209	BL_PS107_UW209_bl	2.28	PS107_track	2017-08-08	14:55	79.823633	3.862718	UW209	11
sam_PS107_UW210	BL_PS107_UW210_bl	2.28	PS107_track	2017-08-08	18:06	79.96861	2.907234	UW210	11
sam_PS107_UW211	BL_PS107_UW211_bl	2.28	PS107_track	2017-08-08	21:02	79.982079	2.945073	UW211	11
sam_PS107_UW214	BL_PS107_UW214_bl	1.64	PS107_track	2017-08-09	0:03	79.988639	3.021593	UW214	11
sam_PS107_UW220	BL_PS107_UW220_bl	1.64	PS107_track	2017-08-09	6:07	79.962682	2.935925	UW220	11
sam_PS107_UW221	BL_PS107_UW221_bl	1.64	PS107_track	2017-08-09	9:01	79.951041	3.012394	UW221	11
